ticker,datetime,spot_price,upper_value,lower_value,straddle_value,past_straddle_value,straddle_pct_value,past_straddle_pct_value,PLower3,PLower2,PLower1,PMean,PUpper1,PUpper2,PUpper3,straddle_pct_sma10,straddle_pct_sma20,straddle_pct_sma30,straddle_pct_sma50,implied_vol_rank,implied_vol_percentile
QQQ,2024-05-20 09:39:00,453.34,455.8,450.88,2.46,2.970791323,0.00543,0.00689,443.62,446.78,449.93,453.09,456.25,459.41,462.57,0.00888,0.00845,0.00822,0.00753,0.1515,0.0531
SPY,2024-05-20 09:39:00,530.15,532.07,528.23,1.92,2.487042174,0.00362,0.00494,522.89,525.29,527.7,530.11,532.52,534.92,537.33,0.00739,0.00658,0.00646,0.00561,0.0915,0.0796
NVDA,2024-05-20 09:39:00,946.13,987.05,905.21,40.92004399,16.25641989,0.04325,0.02054,893.71,915.07,936.42,957.77,979.12,1000.48,1021.83,0.03021,0.02603,0.02348,0.02319,0.4976,0.7876
TSLA,2024-05-20 09:39:00,174.95,178.42,171.48,3.468141433,4.038689644,0.01982,0.02163,166.36,169.7,173.04,176.38,179.72,183.06,186.4,0.02377,0.02494,0.02453,0.02311,0.1968,0.3142
BABA,2024-05-20 09:39:00,88.47,90.27,86.67,1.797798654,1.183119502,0.02032,0.01573,86.64,87.77,88.89,90.02,91.14,92.27,93.4,0.03055,0.02149,0.01823,0.01594,0.4366,0.7389
META,2024-05-20 09:39:00,472.12,478.15,466.09,6.026203199,7.091005275,0.01276,0.01553,449.58,457.23,464.87,472.51,480.16,487.8,495.44,0.01535,0.0189,0.01862,0.01665,0.0537,0.1283
AMZN,2024-05-20 09:39:00,186.27,188.48,184.06,2.21147123,2.234970067,0.01187,0.01302,176.84,179.82,182.79,185.76,188.74,191.71,194.68,0.01302,0.01624,0.01487,0.01305,0.0919,0.1062
TLT,2024-05-20 09:39:00,91.13,91.6,90.66,0.470540469,0.575108497,0.00516,0.00617,89.32,89.91,90.51,91.1,91.69,92.29,92.88,0.00888,0.00754,0.00699,0.00641,0.0329,0.0265
GLD,2024-05-20 09:39:00,223.39,225.22,221.56,1.829103606,1.28709815,0.00819,0.00631,219.15,220.73,222.31,223.88,225.46,227.04,228.62,0.01041,0.00908,0.00884,0.00781,0.6344,0.9204
SLV,2024-05-20 09:39:00,28.64,29.26,28.02,0.621626898,0.287703458,0.0217,0.01233,26.92,27.45,27.99,28.52,29.05,29.59,30.12,0.02168,0.01761,0.01681,0.01477,0.9251,0.9912
EWZ,2024-05-20 09:39:00,31.49,31.84,31.14,0.346590537,0.353889172,0.01101,0.01086,31.27,31.55,31.83,32.11,32.39,32.67,32.95,0.01336,0.01229,0.01202,0.01117,0.5396,0.9735
IWM,2024-05-20 09:39:00,207.92,209.26,206.58,1.34,1.878440232,0.00644,0.00937,203.99,205.2,206.4,207.61,208.81,210.01,211.22,0.01319,0.01063,0.01038,0.00945,0.259,0.1327
